Soft Spot (F),Soft Spot (R),Accessory 1,Accessory 2,Accessory 3,Accessory 4,Accessory 5,No of Passengers,Kombi,Boda V3,Spicy V3,Mundo,Spicy V4,Fastrack
Small Soft Spot,,AMB,,,,,1,Y,Y,Y,Y,Y,Y
Small Soft Spot,,AMB,Yepp,,,,2,"Y
Nexxt only",Y,"Y
YeppEasyfit only",Y,Y,Y
Small Soft Spot,,AMB,Yepp,,DRS,,2,N,N,N,N,N,Y
Small Soft Spot,,AMB,Yepp,,2-Go,,2,"Y**
Soft spot does not sit flat",N,"Y
YeppEasyfit only",N,Y,
Small Soft Spot,,AMB,Yepp,,Baguette,,2,N,,N,Y,N,N
Small Soft Spot,,AMB,Yepp,,Go-Getter,,2,N,N,N,Y**,N,N
Med Soft Spot,,AMB,,,,,1,"Y
Planning to carry 2 kids eventually? Small soft spot reccomended instead of medium.",Y,Y,Y,Y,Y
Med Soft Spot,,AMB,Yepp,,2-Go,,2,N,N,"Y**
YeppEasyfit only",N,Y**,
Med Soft Spot,,AMB,Yepp,,Baguette,,1,N,,N,Y,N,N
Med Soft Spot,,AMB,Yepp,,Go-Getter,,2,N,N,N,N,N,N
Small Soft Spot,Small Soft Spot,AMB,,,,,2,Y,,Y,Y,Y,Y
Small Soft Spot,Small Soft Spot,AMB,,,2-Go,,2,"Y
New 2-Gos are compatible.
Older 2 Gos need a second hole added to the top for better heel clearance",,Y,N,Y,
Small Soft Spot,Small Soft Spot,AMB,,,Baguette,,2,Y,,N,Y,N,N
Small Soft Spot,Small Soft Spot,AMB,,,Go-Getter,,2,N,,N,Y,N,N
Small Soft Spot,Med Soft Spot,AMB,,,,,2,Y*,,Y,Y,Y,
Small Soft Spot,Med Soft Spot,AMB,,,2-Go,,2,Y*,,Y*,N,Y,
Small Soft Spot,Med Soft Spot,AMB,,,Baguette,,2,Y*,,N,Y,N,N
Small Soft Spot,Med Soft Spot,AMB,,,Go-Getter,,2,N,,N,Y,N,N
Med Soft Spot,Med Soft Spot,AMB,,,,,2,N,N,Y,Y,Y,
Med Soft Spot,Med Soft Spot,AMB,,,2-Go,,2,N,N,Y*,N,Y*,
Med Soft Spot,Med Soft Spot,AMB,,,Baguette,,2,N,"Y**
The soft spot will overhang",N,Y,N,N
Med Soft Spot,Med Soft Spot,AMB,,,Go-Getter,,2,N,,N,Y,N,N
,,AMB,Yepp,Yepp,,,2,N,,,,,N*
Small Soft Spot,,AMB,,,,Pop Top,1,Y,Y,Y,Y,Y,Y
